/global/home/users/brianyao/.local/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: WARN: Box bound precision lowered by casting to float32
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Evaluating: /global/scratch/brianyao/DeepRL_Pretraining/pretraining/logs/cheetah/ik_seed37
| eval | S: 0 | ER: 0.4780
| train | E: 49 | S: 12250 | D: 73.5 s | R: 131.8151 | BR: 0.2781 | ALOSS: -25.5825 | CLOSS: 0.6680 | RLOSS: 0.0000
| train | E: 50 | S: 12500 | D: 73.6 s | R: 119.6008 | BR: 0.2844 | ALOSS: -26.1103 | CLOSS: 0.6483 | RLOSS: 0.0000
| train | E: 51 | S: 12750 | D: 73.7 s | R: 124.6493 | BR: 0.2886 | ALOSS: -26.5472 | CLOSS: 0.7310 | RLOSS: 0.0000
| train | E: 52 | S: 13000 | D: 73.5 s | R: 146.6463 | BR: 0.2934 | ALOSS: -27.1057 | CLOSS: 0.6425 | RLOSS: 0.0000
| train | E: 53 | S: 13250 | D: 73.6 s | R: 140.4026 | BR: 0.3008 | ALOSS: -27.6376 | CLOSS: 0.6245 | RLOSS: 0.0000
| train | E: 54 | S: 13500 | D: 73.8 s | R: 144.9223 | BR: 0.3055 | ALOSS: -28.1565 | CLOSS: 0.6636 | RLOSS: 0.0000
| train | E: 55 | S: 13750 | D: 73.7 s | R: 154.2766 | BR: 0.3095 | ALOSS: -28.6237 | CLOSS: 0.6197 | RLOSS: 0.0000
| train | E: 56 | S: 14000 | D: 74.1 s | R: 165.0340 | BR: 0.3199 | ALOSS: -29.1288 | CLOSS: 0.6302 | RLOSS: 0.0000
| train | E: 57 | S: 14250 | D: 74.8 s | R: 179.7267 | BR: 0.3218 | ALOSS: -29.5608 | CLOSS: 0.6308 | RLOSS: 0.0000
| train | E: 58 | S: 14500 | D: 73.7 s | R: 24.0175 | BR: 0.3218 | ALOSS: -29.9342 | CLOSS: 0.6224 | RLOSS: 0.0000
| train | E: 59 | S: 14750 | D: 73.5 s | R: 176.3156 | BR: 0.3259 | ALOSS: -30.3124 | CLOSS: 0.7269 | RLOSS: 0.0000
| train | E: 60 | S: 15000 | D: 74.0 s | R: 109.2180 | BR: 0.3312 | ALOSS: -30.7214 | CLOSS: 0.9136 | RLOSS: 0.0000
| train | E: 61 | S: 15250 | D: 73.7 s | R: 134.9085 | BR: 0.3325 | ALOSS: -31.1988 | CLOSS: 0.8477 | RLOSS: 0.0000
| train | E: 62 | S: 15500 | D: 73.8 s | R: 176.9342 | BR: 0.3402 | ALOSS: -31.7129 | CLOSS: 0.8200 | RLOSS: 0.0000
| train | E: 63 | S: 15750 | D: 73.6 s | R: 162.3655 | BR: 0.3453 | ALOSS: -32.1544 | CLOSS: 0.8011 | RLOSS: 0.0000
| train | E: 64 | S: 16000 | D: 75.0 s | R: 137.5571 | BR: 0.3460 | ALOSS: -32.6500 | CLOSS: 1.0046 | RLOSS: 0.0000
| train | E: 65 | S: 16250 | D: 74.0 s | R: 168.3233 | BR: 0.3548 | ALOSS: -33.0767 | CLOSS: 1.0522 | RLOSS: 0.0000
| train | E: 66 | S: 16500 | D: 73.4 s | R: 194.8760 | BR: 0.3555 | ALOSS: -33.5227 | CLOSS: 0.9648 | RLOSS: 0.0000
| train | E: 67 | S: 16750 | D: 73.9 s | R: 40.5723 | BR: 0.3582 | ALOSS: -33.8985 | CLOSS: 0.9989 | RLOSS: 0.0000
| train | E: 68 | S: 17000 | D: 73.8 s | R: 208.2042 | BR: 0.3678 | ALOSS: -34.2190 | CLOSS: 0.8568 | RLOSS: 0.0000
| train | E: 69 | S: 17250 | D: 73.9 s | R: 191.5958 | BR: 0.3718 | ALOSS: -34.5773 | CLOSS: 0.9728 | RLOSS: 0.0000
| train | E: 70 | S: 17500 | D: 73.6 s | R: 187.1236 | BR: 0.3726 | ALOSS: -34.9233 | CLOSS: 0.9882 | RLOSS: 0.0000
| train | E: 71 | S: 17750 | D: 73.6 s | R: 146.7441 | BR: 0.3792 | ALOSS: -35.3893 | CLOSS: 1.3147 | RLOSS: 0.0000
| train | E: 72 | S: 18000 | D: 73.8 s | R: 189.5820 | BR: 0.3838 | ALOSS: -35.8885 | CLOSS: 1.1920 | RLOSS: 0.0000
| train | E: 73 | S: 18250 | D: 73.8 s | R: 183.1727 | BR: 0.3879 | ALOSS: -36.3460 | CLOSS: 1.0554 | RLOSS: 0.0000
| train | E: 74 | S: 18500 | D: 73.8 s | R: 151.4480 | BR: 0.3934 | ALOSS: -36.7308 | CLOSS: 1.0915 | RLOSS: 0.0000
| train | E: 75 | S: 18750 | D: 73.9 s | R: 168.5471 | BR: 0.3940 | ALOSS: -37.0928 | CLOSS: 1.0862 | RLOSS: 0.0000
| train | E: 76 | S: 19000 | D: 73.6 s | R: 159.5456 | BR: 0.3996 | ALOSS: -37.4906 | CLOSS: 1.3323 | RLOSS: 0.0000
| train | E: 77 | S: 19250 | D: 73.6 s | R: 174.1635 | BR: 0.3999 | ALOSS: -37.9752 | CLOSS: 1.3630 | RLOSS: 0.0000
| train | E: 78 | S: 19500 | D: 73.7 s | R: 145.1707 | BR: 0.4024 | ALOSS: -38.2329 | CLOSS: 1.3659 | RLOSS: 0.0000
| train | E: 79 | S: 19750 | D: 73.5 s | R: 82.8595 | BR: 0.3989 | ALOSS: -38.3717 | CLOSS: 1.7893 | RLOSS: 0.0000
| train | E: 80 | S: 20000 | D: 76.8 s | R: 96.0238 | BR: 0.4030 | ALOSS: -38.8287 | CLOSS: 1.5506 | RLOSS: 0.0000
Evaluating: /global/scratch/brianyao/DeepRL_Pretraining/pretraining/logs/cheetah/ik_seed37
| eval | S: 20000 | ER: 216.8369
| train | E: 81 | S: 20250 | D: 87.8 s | R: 155.7576 | BR: 0.4079 | ALOSS: -39.2076 | CLOSS: 1.6170 | RLOSS: 0.0000
| train | E: 82 | S: 20500 | D: 77.1 s | R: 185.5032 | BR: 0.4093 | ALOSS: -39.6164 | CLOSS: 1.9313 | RLOSS: 0.0000
| train | E: 83 | S: 20750 | D: 77.0 s | R: 204.2754 | BR: 0.4149 | ALOSS: -40.1106 | CLOSS: 1.6131 | RLOSS: 0.0000
| train | E: 84 | S: 21000 | D: 77.0 s | R: 190.8328 | BR: 0.4203 | ALOSS: -40.4546 | CLOSS: 1.6902 | RLOSS: 0.0000
| train | E: 85 | S: 21250 | D: 77.2 s | R: 173.9978 | BR: 0.4219 | ALOSS: -40.9467 | CLOSS: 1.6405 | RLOSS: 0.0000
| train | E: 86 | S: 21500 | D: 77.2 s | R: 231.9622 | BR: 0.4297 | ALOSS: -41.1701 | CLOSS: 1.2147 | RLOSS: 0.0000
| train | E: 87 | S: 21750 | D: 77.2 s | R: 180.5444 | BR: 0.4269 | ALOSS: -41.5958 | CLOSS: 1.4328 | RLOSS: 0.0000
| train | E: 88 | S: 22000 | D: 77.2 s | R: 175.5603 | BR: 0.4348 | ALOSS: -42.0946 | CLOSS: 1.6522 | RLOSS: 0.0000
| train | E: 89 | S: 22250 | D: 76.9 s | R: 191.2454 | BR: 0.4355 | ALOSS: -42.3786 | CLOSS: 1.6269 | RLOSS: 0.0000
| train | E: 90 | S: 22500 | D: 77.1 s | R: 192.5416 | BR: 0.4462 | ALOSS: -42.8854 | CLOSS: 1.6986 | RLOSS: 0.0000
| train | E: 91 | S: 22750 | D: 75.8 s | R: 225.2423 | BR: 0.4487 | ALOSS: -43.2390 | CLOSS: 1.7831 | RLOSS: 0.0000
| train | E: 92 | S: 23000 | D: 73.7 s | R: 118.7554 | BR: 0.4462 | ALOSS: -43.6386 | CLOSS: 1.6858 | RLOSS: 0.0000
| train | E: 93 | S: 23250 | D: 73.4 s | R: 173.9869 | BR: 0.4466 | ALOSS: -43.6889 | CLOSS: 1.8309 | RLOSS: 0.0000
| train | E: 94 | S: 23500 | D: 73.7 s | R: 30.4200 | BR: 0.4466 | ALOSS: -44.0939 | CLOSS: 1.6802 | RLOSS: 0.0000
| train | E: 95 | S: 23750 | D: 74.0 s | R: 172.8908 | BR: 0.4479 | ALOSS: -44.5265 | CLOSS: 1.7682 | RLOSS: 0.0000
| train | E: 96 | S: 24000 | D: 73.8 s | R: 209.7766 | BR: 0.4526 | ALOSS: -44.8530 | CLOSS: 1.5765 | RLOSS: 0.0000
| train | E: 97 | S: 24250 | D: 73.7 s | R: 208.7560 | BR: 0.4617 | ALOSS: -45.1463 | CLOSS: 1.4607 | RLOSS: 0.0000
| train | E: 98 | S: 24500 | D: 73.7 s | R: 196.1568 | BR: 0.4543 | ALOSS: -45.2531 | CLOSS: 1.8567 | RLOSS: 0.0000
| train | E: 99 | S: 24750 | D: 73.9 s | R: 37.9042 | BR: 0.4555 | ALOSS: -45.6710 | CLOSS: 1.8344 | RLOSS: 0.0000
| train | E: 100 | S: 25000 | D: 73.8 s | R: 215.2731 | BR: 0.4642 | ALOSS: -46.2461 | CLOSS: 1.5654 | RLOSS: 0.0000
| train | E: 101 | S: 25250 | D: 73.5 s | R: 182.0349 | BR: 0.4632 | ALOSS: -46.4491 | CLOSS: 1.6409 | RLOSS: 0.0000
| train | E: 102 | S: 25500 | D: 73.7 s | R: 206.7158 | BR: 0.4667 | ALOSS: -46.7030 | CLOSS: 2.2372 | RLOSS: 0.0000
| train | E: 103 | S: 25750 | D: 74.0 s | R: 176.6014 | BR: 0.4704 | ALOSS: -47.3305 | CLOSS: 1.8121 | RLOSS: 0.0000
| train | E: 104 | S: 26000 | D: 73.7 s | R: 196.7781 | BR: 0.4716 | ALOSS: -47.6585 | CLOSS: 2.2476 | RLOSS: 0.0000
| train | E: 105 | S: 26250 | D: 73.9 s | R: 224.8677 | BR: 0.4752 | ALOSS: -47.9852 | CLOSS: 1.7603 | RLOSS: 0.0000
| train | E: 106 | S: 26500 | D: 73.9 s | R: 221.4254 | BR: 0.4832 | ALOSS: -48.2501 | CLOSS: 1.7506 | RLOSS: 0.0000
| train | E: 107 | S: 26750 | D: 76.5 s | R: 212.2543 | BR: 0.4852 | ALOSS: -48.7792 | CLOSS: 2.0333 | RLOSS: 0.0000
| train | E: 108 | S: 27000 | D: 74.9 s | R: 227.1030 | BR: 0.4893 | ALOSS: -49.0188 | CLOSS: 1.7666 | RLOSS: 0.0000
| train | E: 109 | S: 27250 | D: 73.6 s | R: 217.1077 | BR: 0.4914 | ALOSS: -49.4746 | CLOSS: 2.0705 | RLOSS: 0.0000
| train | E: 110 | S: 27500 | D: 74.0 s | R: 176.6008 | BR: 0.4979 | ALOSS: -49.8441 | CLOSS: 1.7841 | RLOSS: 0.0000
| train | E: 111 | S: 27750 | D: 75.6 s | R: 217.3008 | BR: 0.4965 | ALOSS: -50.1558 | CLOSS: 1.6259 | RLOSS: 0.0000
| train | E: 112 | S: 28000 | D: 77.1 s | R: 198.8471 | BR: 0.5028 | ALOSS: -50.6239 | CLOSS: 1.8784 | RLOSS: 0.0000
| train | E: 113 | S: 28250 | D: 77.0 s | R: 159.3292 | BR: 0.4998 | ALOSS: -50.8762 | CLOSS: 2.1354 | RLOSS: 0.0000
| train | E: 114 | S: 28500 | D: 74.2 s | R: 201.1130 | BR: 0.5041 | ALOSS: -51.3137 | CLOSS: 2.5422 | RLOSS: 0.0000
| train | E: 115 | S: 28750 | D: 74.9 s | R: 26.1329 | BR: 0.5020 | ALOSS: -51.3002 | CLOSS: 2.4151 | RLOSS: 0.0000
